date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:46	2939/2939	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:21%20GMT	http://snap.berkeley.edu/hoc/full-interface/snap.html	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/snap.html	(from http://snap.berkeley.edu/hoc/runme.js)
16:16:49	298763/298763	---M--	200	added ('OK')	application/x-javascript	etag:%222840f36-48f0b-4ec191aee3940%22	http://snap.berkeley.edu/hoc/morphic.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/morphic.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:51	85831/85831	---M--	200	added ('OK')	application/x-javascript	etag:%2240d71b-14f47-4ec191b0cbdc0%22	http://snap.berkeley.edu/hoc/widgets.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/widgets.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:52	41236/41236	---M--	200	added ('OK')	text/plain	etag:%2222ec1b3-a114-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:53	285042/285042	---M--	200	added ('OK')	application/x-javascript	etag:%22298b5b2-45972-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/blocks.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/blocks.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:55	88615/88615	---M--	200	added ('OK')	application/x-javascript	etag:%22ec2979-15a27-4ec191aee3940%22	http://snap.berkeley.edu/hoc/threads.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/threads.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:57	187415/187415	---M--	200	added ('OK')	application/x-javascript	etag:%226ec287-2dc17-4ecd7de725040%22	http://snap.berkeley.edu/hoc/objects.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/objects.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:59	185988/185988	---M--	200	added ('OK')	application/x-javascript	etag:%2234213fc-2d684-4eccf39814080%22	http://snap.berkeley.edu/hoc/gui.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/gui.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:01	29397/29397	---M--	200	added ('OK')	application/x-javascript	etag:%222840f38-72d5-4ec191aee3940%22	http://snap.berkeley.edu/hoc/paint.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/paint.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:02	18004/18004	---M--	200	added ('OK')	application/x-javascript	etag:%222473c50-4654-4ec191adef700%22	http://snap.berkeley.edu/hoc/lists.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/lists.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:04	92374/92374	---M--	200	added ('OK')	application/x-javascript	etag:%22298b5b3-168d6-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/byob.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/byob.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:05	11206/11206	---M--	200	added ('OK')	application/x-javascript	etag:%2240d71c-2bc6-4ec191b0cbdc0%22	http://snap.berkeley.edu/hoc/xml.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/xml.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	57234/57234	---M--	200	added ('OK')	application/x-javascript	etag:%222840f48-df92-4ec191aee3940%22	http://snap.berkeley.edu/hoc/store.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/store.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	8492/8492	---M--	200	added ('OK')	application/x-javascript	etag:%222473c51-212c-4ec191adef700%22	http://snap.berkeley.edu/hoc/locale.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/locale.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	18119/18119	---M--	200	added ('OK')	application/x-javascript	etag:%221357530-46c7-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/cloud.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/cloud.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:31	752902/752902	---M--	200	added ('OK')	image/png	etag:%222d42e7b-b7d06-4ec191acfb4c0%22	http://snap.berkeley.edu/hoc/images/alonzo3dnoshadow.png	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/images/alonzo3dnoshadow.png	(from http://snap.berkeley.edu/hoc/)
16:17:34	299067/299067	---M--	200	added ('OK')	application/x-javascript	etag:%2226f511d-4903b-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/morphic.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/morphic.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:34	85831/85831	---M--	200	added ('OK')	application/x-javascript	etag:%2226f5126-14f47-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/widgets.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/widgets.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:37	285018/285018	---M--	200	added ('OK')	application/x-javascript	etag:%222ddfb16-4595a-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/blocks.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/blocks.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:39	88615/88615	---M--	200	added ('OK')	application/x-javascript	etag:%2226f5124-15a27-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/threads.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/threads.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:41	186309/186309	---M--	200	added ('OK')	application/x-javascript	etag:%2226f511e-2d7c5-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/objects.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/objects.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:43	184996/184996	---M--	200	added ('OK')	application/x-javascript	etag:%222ddfb1a-2d2a4-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/gui.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/gui.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:45	29397/29397	---M--	200	added ('OK')	application/x-javascript	etag:%2226f511f-72d5-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/paint.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/paint.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:45	18004/18004	---M--	200	added ('OK')	application/x-javascript	etag:%2226f511a-4654-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/lists.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/lists.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:47	92349/92349	---M--	200	added ('OK')	application/x-javascript	etag:%222ddfb17-168bd-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/byob.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/byob.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:48	11206/11206	---M--	200	added ('OK')	application/x-javascript	etag:%2226f5127-2bc6-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/xml.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/xml.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:50	56826/56826	---M--	200	added ('OK')	application/x-javascript	etag:%2226f5123-ddfa-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/store.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/store.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:50	8492/8492	---M--	200	added ('OK')	application/x-javascript	etag:%2226f511b-212c-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/locale.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/locale.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:51	18119/18119	---M--	200	added ('OK')	application/x-javascript	etag:%222ddfb19-46c7-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/cloud.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/cloud.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:51	20482/20482	---M--	200	added ('OK')	application/x-javascript	etag:%2226f5121-5002-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/sha512.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/sha512.js	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:51	220/220	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:17:26%20GMT	http://snap.berkeley.edu/hoc/full-interface/get	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/get	(from http://snap.berkeley.edu/hoc/full-interface/snap.html)
16:17:52	4616/4616	---M--	200	added ('OK')	audio/x-wav	etag:%22298b5b4-1208-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/click.wav	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/click.wav	(from http://snap.berkeley.edu/hoc/blocks.js)
16:17:52	205/205	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:17:27%20GMT	http://snap.berkeley.edu/hoc/GET	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/GET	(from http://snap.berkeley.edu/hoc/threads.js)
16:17:53	155/155	---M--	200	added ('OK')	image/gif	etag:%22117164e-9b-4eb9190ebcb40%22	http://snap.berkeley.edu/hoc/scriptsPaneTexture.gif	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/scriptsPaneTexture.gif	(from http://snap.berkeley.edu/hoc/gui.js)
16:17:53	4682/4682	---M--	200	added ('OK')	image/png	etag:%222840f47-124a-4ec191aee3940%22	http://snap.berkeley.edu/hoc/snap_logo_sm.png	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/snap_logo_sm.png	(from http://snap.berkeley.edu/hoc/gui.js)
16:17:54	50533/50533	---M--	200	added ('OK')	application/x-javascript	etag:%2240d71d-c565-4ec191b0cbdc0%22	http://snap.berkeley.edu/hoc/ypr.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/ypr.js	(from http://snap.berkeley.edu/hoc/gui.js)
16:17:55	4616/4616	---M--	200	added ('OK')	audio/x-wav	etag:%222ddfb18-1208-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/click.wav	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/click.wav	(from http://snap.berkeley.edu/hoc/full-interface/blocks.js)
16:17:56	220/220	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:17:31%20GMT	http://snap.berkeley.edu/hoc/full-interface/GET	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/GET.37.delayed	(from http://snap.berkeley.edu/hoc/full-interface/threads.js)
16:17:56	155/155	---M--	200	added ('OK')	image/gif	etag:%221b0dc33-9b-4ec715a1aad80%22	http://snap.berkeley.edu/hoc/full-interface/scriptsPaneTexture.gif	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/scriptsPaneTexture.gif	(from http://snap.berkeley.edu/hoc/full-interface/gui.js)
16:17:58	50533/50533	---M--	200	added ('OK')	application/x-javascript	etag:%2235a94e9-c565-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/ypr.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/ypr.js	(from http://snap.berkeley.edu/hoc/full-interface/gui.js)
16:17:59	4682/4682	---M--	200	added ('OK')	image/png	etag:%2226f5122-124a-4ecd7e1c8ce40%22	http://snap.berkeley.edu/hoc/full-interface/snap_logo_sm.png	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/snap_logo_sm.png	(from http://snap.berkeley.edu/hoc/full-interface/gui.js)
16:21:19	2993521/2993521	---M--	200	added ('OK')	application/pdf	etag:%221c0d56c-2dad71-4ec191ab13040%22	http://snap.berkeley.edu/hoc/help/SnapManual.pdf	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/help/SnapManual.pdf	(from http://snap.berkeley.edu/hoc/gui.js)
16:21:20	2993521/2993521	---M--	200	added ('OK')	application/pdf	etag:%2273d7c6-2dad71-4ecd7e1b98c00%22	http://snap.berkeley.edu/hoc/full-interface/help/SnapManual.pdf	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/help/SnapManual.pdf	(from http://snap.berkeley.edu/hoc/full-interface/gui.js)
